"nat"	"t"	"K"	"cK"	"Gclu"	"Aclu"	"cC"	"D"	"L"	"E"	"cL"	"ent"	"AS"	"ASG"
104.13	0.89	161.520958083832	161.520958083832	0.977473413153013	0.977706855020795	0.973017819782123	2	1.02698218021788	13487	1.00656072803174	3.08513861951334	-0.0321088671938756	0.00236127305662537
105.3	0.9	163.197604790419	163.197604790419	0.985412621457934	0.985479284657515	0.983118101147103	2	1.0168818988529	13627	1.0045205533588	2.59251698940864	-0.0213307565220057	-0.00131041362953021
106.47	0.91	164.574850299401	164.574850299401	0.992320508391148	0.992353820452079	0.991414760839766	2	1.00858523916023	13742	1.00286640820242	1.89550985607051	-0.0236339129713043	-0.00399420090079419
107.64	0.92	165.293413173653	165.293413173653	0.996126662757322	0.996143581907524	0.995743452853329	2	1.00425654714667	13802	1.00201100525413	1.24068776016265	-0.0262729773790074	-0.00508848423415063
108.81	0.93	165.652694610778	165.652694610778	0.99804931890804	0.998054215922693	0.997907798860111	2	1.00209220113989	13832	1.00158524185995	0.829114540010141	-0.0212401934524835	-0.00546182113715159
109.98	0.94	165.688622754491	165.688622754491	0.998235774284435	0.998239720020858	0.998124233460789	2	1.00187576653921	13835	1.00154273619372	0.738852933274691	-0.0211549145660717	-0.00555052160845552
111.15	0.95	165.892215568862	165.892215568862	0.999381383992424	0.999382177594431	0.999350696197965	2	1.00064930380203	13852	1.00130211275304	0.355052899725751	-0.0166307044124304	-0.00575814268577159
112.32	0.96	165.904191616766	165.904191616766	0.999446694679208	0.999447326595439	0.999422841064858	2	1.00057715893514	13853	1.001287971229	0.329827895995117	-0.0165308460355519	-0.00578769741059195
113.49	0.97	165.904191616766	165.904191616766	0.999446694679208	0.999447326595439	0.999422841064858	2	1.00057715893514	13853	1.001287971229	0.329827895995117	-0.0165308460355519	-0.00578769741059195
114.66	0.98	165.916167664671	165.916167664671	0.999512862530069	0.999513350079689	0.999494985931751	2	1.00050501406825	13854	1.00127383112514	0.303465523943419	-0.0163970507371456	-0.00581725105748481
115.83	0.99	165.988023952096	165.988023952096	0.999927844721841	0.999927855133106	0.999927855133107	2	1.00007214486689	13860	1.00118902031189	0.0936254580395636	-0.0120481929387619	-0.00599455029021383
117	1	166	166	1	1	1	1	1	13861	1.00117489014232	0	NA	-0.00602409638554215
